1,0.809017,0.309017,-0.309017,-0.809017,-1
0.809017,0.654508,0.25,-0.25,-0.654509,-0.809017
0.309017,0.25,0.0954914,-0.0954915,-0.25,-0.309017
-0.309017,-0.25,-0.0954915,0.0954916,0.25,0.309017
-0.809017,-0.654509,-0.25,0.25,0.654509,0.809017
-1,-0.809017,-0.309017,0.309017,0.809017,1
0.960789,0.777295,0.2969,-0.2969,-0.777295,-0.960789
0.777295,0.629807,0.240574,-0.240574,-0.629807,-0.777295
0.2969,0.240584,0.0918989,-0.0918989,-0.240584,-0.2969
-0.2969,-0.240585,-0.0918989,0.091899,0.240585,0.2969
-0.777295,-0.629807,-0.240574,0.240575,0.629807,0.777295
-0.960789,-0.777295,-0.2969,0.2969,0.777295,0.960789
0.923116,0.746817,0.285259,-0.285259,-0.746817,-0.923116
0.746817,0.605938,0.231481,-0.231481,-0.605938,-0.746817
0.285259,0.231543,0.0884554,-0.0884554,-0.231543,-0.285259
-0.285259,-0.230532,-0.0880693,0.0880694,0.230532,0.285259
-0.746817,-0.584976,-0.223473,0.223473,0.584976,0.746817
-0.923116,-0.746817,-0.285259,0.285259,0.746817,0.923116
0.88692,0.717534,0.274073,-0.274074,-0.717534,-0.88692
0.717534,0.582893,0.222711,-0.222712,-0.582893,-0.717534
0.274073,0.222884,0.0851646,-0.0851646,-0.222884,-0.274073
-0.274074,-0.220234,-0.0841172,0.0841173,0.220234,0.274074
-0.717534,-0.546392,-0.208417,0.208417,0.546392,0.717534
-0.88692,-0.717534,-0.274073,0.274074,0.717534,0.88692
0.852144,0.689399,0.263327,-0.263327,-0.689399,-0.852144
0.689399,0.56066,0.214256,-0.214256,-0.56066,-0.689399
0.263327,0.214602,0.082025,-0.0820251,-0.214602,-0.263327
-0.263327,-0.209962,-0.080134,0.0801341,0.209962,0.263327
-0.689399,-0.512845,-0.195113,0.195113,0.512845,0.689399
-0.852144,-0.689399,-0.263327,0.263327,0.689399,0.852144
